content,stars,title
"A atenção dos funcionários em geral no hotel é simplesmente incrível, a ponto de que o hotel não a merece. Funcionários cordiais, educados e sempre dispostos exeto a gerência que diante de um dos problemas que sitarei, fugiu o tempo todo e não me ajudou em nada, uma verdadeira vergonha.",4,Confortável 
"Quarto amplo, limpo e confortável.",5,Incrível 
"Olá Trek,",3,Poderia ser melhor.
"Olá Juliana,",5,Atendimento é o diferencial!!!
"Olá Regina,",4,Hotel muito bom!
"Olá Luciana,",2,Limpeza ruin
Olá CarolTosin,3,Deixou a desejar!
"Prezada Talita,",4,Ótima localização 
"Prezado Kley,",5,Excelente atendimento
"Hotel bem localizado, atendimento excelente e bem confortável. Chuveiro maravilhoso, café da manhã bem diversificado. Não tem academia nem piscina mas no meu caso ofereceram o do hotel mercure ao lado que segundo sei faz parte da rede.",4,otimo hotel
"a rede ibis nao tem muito que falar pois sempre e um local para se descansar e trabalho alem do bom atendimento de boas vindas voce descansa .camas confortaveis ,bom cafe da manha alem da otima localizacao perto da praia.",3,Como todos os Ibis - hospedagem com cachorro
"Este é um boa escolha de hospedagem e os  brigadeiros sao deliciosos, staff gentil, front desk simpática, o cafe da manha é atração a parte. Academia é completa. Vale a pena retornar ao hotel e almocar por la mesmo. ",5,* Inesquecível
"Muito bom apart hotel, em região próxima a bares, restaurantes, comércio e até dois shoppings no Leblon. Acomodações confortáveis, amplas, café da manhã generoso, Apenas um defeito: a internet deles é péssima. Não é estável e baixa velocidade. Se você irá precisar de internet durante sua estadia terá que procurar uma Lan House.",4,Final de semana agradavel
"Excelente localização em rua tranquila e com garage. uma equipe educada e gentil, ótima limpeza, serviços de boa qualidade na limpeza , recepção e em geral. Toalhas novas. Um belo café da manhã. os apartamentos são bons e as varandas são agradaveis de se passar um tempinho.",5,"café muito, bom e atendimento excelente."
"Prezada Sra. Tais, ",4,Localização excelente
"Prezada Rosa Maria C,",5,Perfeito!
"Prezado Bru_cr17,",5,The Paradise
"Prezado Paulo K,",5,Cordialidade e ambiente sofisticado 
"Prezado HFLenz,",2,Não condiz com o que se propõe a ser
"Prezado LeonardoR1355,",5,"Quesito hotel: nota 9,8! Pode levantar a taça e sambar!"
"Prezado Sr. Villani, ",4,Vale pela localização
Matei minha curiosidade em descobrir o que tem nesse hotel depois de passar por essa linda fachada!,5,Café da manhã de aniversário
"Repito as opiniões quanto a localização em nobre lugar do Leblon , localizado em rua tranquila muito arborizada e perto de restaurantes , bares e boa casa de sucos e salgados como o BB . Limpeza impecavel e excelente atendimento de seus servidores .",4,Agradavel como sempre
Sempre com garçons muito bem educados lugar lindo com vista para maravilhosa piscina do Copacabana Palace. Vale a pena iniciar o dia neste lugar especial. A comida é especial. Café da manhã com variedades para todos os gostos!!!!,5,Hotel maravilhoso 
"O hotel é incrivel. Serviço impecável, funcionarios super atenciosos, quartos espaçosos e super bem decorados. Otimas opcoes de restaurantes. Foco para o brunch sensacional e o jantar no restaurante pergula. Vale a pena a visita! ",5,Espetacular nos mínimos detalhes
"Hotel de luxo, padrão 5 estrelas, onde se recebe muita atenção e cortesia dos funcionários, que atuam com muita discrição. Enxoval Trussardi e copos e cerâmicas portuguesas da Vista Alegre. ",4,Bom hotel
"O bom do Ibis é que a gente sabe o que esperar. Em termo de estrutura, foi o esperado. Achei apenas os travesseiros muuuuito finos. A localização é boa: a 3 quadras de uma rua com vários restaurantes e comércio, lugar gostoso da Barra da Tijuca, com os prédios baixinhos. ",4,Bom!
"As instalações, as vistas dos quartos são ótimas. Os funcionários sempre atenciosos para nos ajudar com qualquer que seja a dificuldade. O café deixou um pouco a desejar para quem prefere uma alimentação mais saudável porque se baseia muito em pães doces, poucos frutas, resumindo é um pouco pesado, porém de maneira geral o hotel é bom e eu retornaria.",3,Desorganização
"Esse lugar é muito bom! Bem localizado: tem restaurantes por perto, a área parece ser segura, dá para ir a pé até à Lagoa e não fica longe das praias. A pousada é bem limpa e tem um ótimo café da manhã. Mas o principal é o atendimento dos donos, receptivos e prestativos. Me ajudaram a planejar meus passeios me dando ótimas dicas. Foi como estar em casa. Para quem gosta de uma experiência mais pessoal (ao invés de atendimentos robóticos) vai adorar a pousada.",5,Hospedagem tranquilo 
"Fiquei hospedada de 20 a 22/02, a cada dia o café da manhã tinha uma novidade! Acomodações limpas e confortáveis. Os proprietários super atenciosos. A localização é privilegiada, a rua é arborizada e tranquila. A noite tem os restantes do entorno dão um toque especial. AMEI e recomendo!!",5,Surpreendentemente Ótimo 
"Uma surpresa agradável deparar-se com acomodações confortáveis num ambiente aconchegante e limpo. Preço justo pelos quartos com boas camas e roupas de cama com cheiro de limpeza. Destaque para o Sr Marcos que nos deu atendimento VIP, levando-nos pessoalmente a um restaurante próximo ao hotel. Pela manhã, ao sairmos, um táxi já nos esperava e que foi solicitado por ele próprio. Parabéns por cada detalhe e preciosismo que fazem a diferença e nos fazem sentir como em casa. Excelente opção para quem quer conhecer o Rio de Janeiro e hospedar-se como se estivesse na casa de um amigo, respirando o ar puro do Jardim Botânico!Recomendo!",5,Recepção espetacular
"Estabelecimento super aconchegante, limpo , tranquilo, seguro . Fui recebida maravilhosamente bem, me senti super acolhida. Proximo ao Jardim Botanico, com otimos restaurantes e bares nas proximidades, desde uma boa padaria até um restaurante mais sofisticado. Otimo atendimento. Os proprietários dão um show de simpatia e zelo pelos hospedes. Recomendo !!",5,Luxo e Conforto 
"Passei dois dias na Pouso verde em um quadro muito confortável temperatura perfeita silêncio, tudo que contribui para uma boa noite. Café da manhã excelente,  os donos muito atenciosos e simpáticos recomendo. Ao redor variados restaurantes interessantes nota 1000",5,Pense num lugar nota 1000
"Prezado Jéferson,",4,Hotel bom.
"Prezado Rafael,",5,bom hotel
"Prezado Marcos,",5,Funcional e bem localizado
"FVanzo,",1,Queima o filme da rede Íbis
"Eloise, obrigado por sua avaliação e comentários.",5,CUSTO X BENEFICIO
"Fiquei dois dias hospedada, tudo tranquilo, mas o mesmo da Rede Novotel Porto Atlântico era bem melhor. Os quartos são bem pequenos. Ele fica bem localizado, perto até das praia, dois quarteirões, os funcionários foram bem atenciosoa.",3,A expectativa seguida da Frustração
"Seguimos com nosso hobby e objetivo de conseguir os status da Rede Accor como já dito nas outras avaliações. Depois de uma experiência surpreendente no Íbis Botafogo, chegamos ao Ibis Copacabana Posto 2. Toda comunicação antes da estadia fora de excelente efetividade. Sempre prontamente respondido. Ganhamos uma diária de cortesia o que nos deixou muito feliz e empolgados, mas ao chegar no dia os problemas começaram a aparecer. O horário de Check In descrito no site é a partir das 12hs. Chegamos as 12:20hs e ainda não havia quarto pronto, como tinha reunião no centro as 13:00hs precisei sair sem concluir o processo de Check In.  Ao retornar, vi que fomos alocados no segundo andar, mesmo dando preferência a andares altos, isso em nada interfere na estadia, apenas é uma forma de demonstrar apreço pelas opções do hóspede. O quarto seguia o mesmo padrão do Ibis Botafogo. Limpo, cheiroso, arrumado e aconchegante. Foi a primeira vez que não ganhamos mimos na chegada, RS. Mas sempre tem uma primeira vez, né? RS. É válido lembrar que a marca Ibis tem uma proposta super bacana de deixar o frigobar livre para que você possa levar suas cosias e possui um bar com serviço 24hs o que é fantástico para os ""corujas"", como eu. O Loby do hotel é mais ""clean"" o que eu particularmente acho mais charmoso, ponto positivo. Já no quarto encontramos nosso primeiro problema. Era impossível assitir TV. A mesma apresentava problemas de ""Chuvisco"", não era questão de sinal, mas de técnica. Quando fui tomar banho também percebi que o chuveiro estava com problemas na variação da temperatura. Você escolhia a que queria e de repente ele esquentava tanto que você tinha que sair da água. Comunicamos o problema no primeiro dia. Por duas vezes o atendente disse que mandaria um técnico, o que não aconteceu. Isso vai contra a política da rede de ter seus problemas solucionado em até 15 min. É um conceito que a marca vende e não foi cumprido. Já no dia seguinte, mencionamos o problema ao jovem atendente Bryan que prontamente se incumbiu de resolver o problema e ai sim, pouquíssimos minutos depois havia um técnico no quarto para corrigir os defeitos. O mesmo disse que o problema era no cabeamento e que se não conseguisse resolver, nos trocaria de quarto. O problema não foi resolvido e nem nós trocados de quarto. RS. O serviço de arrumação, apesar de conceitualmente ir até às 16hs aconteceu de forma tardia, haja visto que passamos grande parte do dia fora e também só aconteceu quando mais uma vez o Bryan nos ajudou. Solicitamos o empréstimo de pratos e talheres e fomos prontamente atendidos. No domingo, dia do Check Out conseguimos um Late até às 15, mas nossas expectativas eram tão altas e estávamos tão tristes pelas frustrações que resolvemos dar mais uma chance é ficar mais um dia. Pagamos mais uma diária, mas infelizmente os problemas persistiram. Uma enorme pena. Deixo aqui registrado meus votos de estima e excelente atendimento ao jovem Bryan da recepção. Um grande funcionário da casa. Valorizem isso. Então de forma geral ficou uma grande expectativa seguida por uma enorme frustração. Fazemos os sinceros votos para que os fatos tenham sido pontuais e infelizes coincidências. ",4,Boa localização
"A localização física é boa para quem quer facilidade de acesso ao transporte público (que no Rio é muito bom, se comparado a outras capitais brasileiras).Observei, porém, que meus dados cadastrais (lançados no site da Accor) não estavam disponiveis para o atendente do check in.Qualidade da banda de Internet disponivel estava ""sofrivel"" na unidade da Praça Tiradentes (na hospedagem anterior, no Copacabana Posto 2, era excelenete)",4,Ótima  localização 
Olá Clebicar,4,Ótima estadia 
"Olá Sra Malavazzi,",5,Agradecimento
"Olá Tatiana, ",3,Ok
"Prezado Sr. Anderson S,",5,Muito bom hotel e bem localizado
"Prezado Sr. Julio L.,",4,momento de trabalho
"Prezada Sra. Daiane S,",5,Hotel Windsor Copacabana 
"Estive nesse hotel, já de início soube que não seria bom! ",4,Ótimo café da manhã!
Padrão Ibis.,5,Muito bom 
"O hotel é muito bom localizado e com uma ótima estrutura. Padrão ibis. Não vá esperando um quatro estrelas com diversas atrações, mas o hotel cumpre o que promete. Sinal de Wi Fi ótimo em todos os lugares. Café da manhã condizente com o preço de R$ 25,00. Cama boa e confortável para uma ótima noite de sono. Front Desk ágil do check-in ao check-out. Boa opção para o RJ. Preço bom e competitivo. ",5,Gosto e indico
"Prezada Sra. Aline F,",1,Pessimo atendimento
"O Ibis Botafogo tem o mesmo padrão de qualquer Ibis do mundo em relação aos quartos, o que é muito bom e pratico. A localização é ótima, próximo da estação do metrô e tem facilidade de acesso a diversos pontos da cidade. Tem também um restaurante que serve a la carte no jantar (também serve almoço mas não sei se mantém o cardápio ou se é buffet).",4,Uma grata surpresa
"Prezado Keisson M,",5,Ibis Fogão
"Na nossa missão e hobby de visitarmos hotéis e restaurantes, e após termos conseguido status da Rede Hilton, começamos a caminhada pela Rede Accor, onde primeiro nos hospedamos no Novotel Botafogo (Conforme Rewiew) e seguimos dessa vez escolhendo a marca Ibis, em Botafogo, já que correriamos ali próximo. Sempre passamos por hotéis de 5 e 4 estrelas e pela primeira vez ficamos em um 3 estrelas e devo dizer que fora uma gratíssima surpresa. A começar pelo incrível Loby. Dinâmico, Colorido, Alegre, atrativo. Havia uma mesa de sinuca, televisão, sofá, cadeiras e mesas e dois computadores pra uso. Incrível a decoração. Ainda no Loby há um Bar que funciona 24 horas (Que maravilhoso!), já que pela proposta do hotel eles não possuem serviço de quarto. Após chegar do cinema, por volta das 23hs, resolvemos comer algo, porém havia pouquíssimas opções o que nos levou a pedir comida fora, poderiam rever isto. Não sei se foi algo pontual ou se de fato há poucas opções mesmo. O Check In foi rápido e amigável, aliás, características de todos os funcionários. Ficamos no décimo andar (Andar alto como amamos). E no quarto percebemos a diferença dentre as categorias. O quanto era limpo mas com características antigas como a pintura e escolha das cores da parede, por exemplo. O hotel tem a proposta de deixar o frigobar vazio, para que você mesmo possa levar sua comida. Algo bastante interesse. Havia mimos pra nós e amamos demais! Uma cartinha de boas vindas e frutas frescas. Ficamos muito felizes. O banheiro também apresenta características antigas, mas o chuveiro é bom. Água é quente e de alta pressão. Senti falta de uma lixeira no quarto. Só havia no banheiro. Os Amenities eram de marca própria. Não havia roupões nem chinelos no quarto. O café da manhã fora bastante bom. Boa variedade e bons produtos. Não deixa nada a dever pro hotel 4 estrelas da rede. De forma geral o Ibis Botafogo nos deu uma estada muito agradável e surpreendente e indicamos sem medo para aqueles com orçamento limitado. Parabéns Equipe. ",5,Localização excelente
"A acomodação e o atendimento foram os pontos altos desse hotel. O chuveiro é excelente e o quarto bastante confortável. A localização é ótima, próximo a várias lojas e restaurantes interessantes. Os únicos pontos a serem melhorados é o café da manhã e a internet.",5,Excelente localização e serviço!
"Tinha sabonete usado no box, tufo de cabelo do hóspede anterior. Quarto cheirando mofo. Tv do quarto pequena, incompatível com o tamanho do quarto. Na recepção os copos eram de plástico. A localização é muito boa. ",5,Muito bom
"Prezada Hospede,",5,Super recomendo
"Prezada Sra. Francesca,",5,Maravilhoso
"Prezado Sr. Adolfo,",5,Hotel maravilhoso
"O apartamento que me hospedei é maravilhoso. Tudo novo, muito asseio e o atendimento é muito bom. Funcionários muito educados e solicitos. No meio da tarde recebi chocolate no apartamento. Conta com serviço de quarto - com segurança, e transfer aeroportos incluídos, o que é um diferencial.",4,PASSEIO
"Ótima localização. Quarto super limpo, cama confortável, terraço com vista para a praia de copacabana, atendimento excelente. Café da manhã com muitas opções. Buffet para almoço e jantar deve ser consultado.",5,EVENTO COMERCIAL
"Apartamento com vista para o mar, piscina e morro espetacular!!!",4,Um bom hotel em São Conrado
"Estive lá em setembro de 2017 e o hotel correspondeu às minhas expectativas. Tem um vista linda para a praia de São Conrado. O check in foi demorado, o hotel recebe excursões e se você der azar de chegar junto com uma delas, terá que enfrentar a fila. O café da manhã é excelente, com muitas opções quentes e frias. A área da piscina é ótima, muito espaçosa. Tem manobristas para estacionar o carro, mas se você entrar e encontrar um lugar vago por sua conta, é bem mais rápido. Lembro-me de ter pago pelo estacionamento, mas não lembro quanto foi. O Fashion Hall fica a poucos minutos de caminhada, eu arrisquei ir até lá, uma vez durante o dia e uma à noite, mas algumas pessoas não recomendam ir a pé. Neste shopping tem ótimas opções de restaurantes, embora não seja um grande shopping. No geral, eu gostei, achei um bom custo-benefício e recomendo.",4,Uma delícia de Hotel!
"Prezado Rodolfo M,",3,Regular
"Caro Lucas L,",5,Topissimo
"Prezada Ester P,",3,"Café da manhã muito bom, porém cama ruim!"
"Prezada Carol,",5,Excellent!
"Prezada Vanessa B, ",5,Adorei!
"Sr Renato,",1,Nunca mais volto para esse hotel
"Sra Juliana, ",3,Chateada 
"Fomos com a família e reservamos 3 quartos ! O hotel vale o preço que cobra, não oferece mais do que o valor da diária ! Fica a 3 ruas da praia porém o local tem boas opções de comida e um cinema ao lado do hotel ! O café da manhã é bem básico com poucas opções porém os itens são gostosos ! O quarto é confortável ! Na reserva solicitei os quartos com uma cama de casal e uma de solteiro ! Chegando ao check in eles disseram que não havia essa opção ! Ok ! No check out solicitei o late check out me cobraram o valor de 120 reais, aceitei e pedi para meus sogros colocarem as malas deles no nosso apartamento! Íamos passear na volta trocaríamos de roupa no apartamento ! Pra minha surpresa eles já começaram a colocar obstáculos para as malas ficarem no apartamento e na volta do passeio constrangeram meus familiares deixando subir um de cada vez para retirar as bagagens junto com o atendente do hotel ! Poxa uma questão de bom senso ! Paguei quase o valor  da diária pelo late check out não era bagunça eram idosos ! Ok não recomento pela falta de educação da gerente Cecília e atendente Pablo da recepção ! ",4,Muito Bom
"Viemos passar o feriado de 7 de setembro e estamos hospedado no hotel. Escolhemos por terem coisas que outros hotéis não tinham, como jacuzzi, sauna ( vapor e seca). A sauna a vapor não está funcionando e a Jacuzzi com água fria.",1,Péssimo!!!
"Prezado Sr. Meander60370,",2,Reclamação !
"Prezado Sr. Aldrin,",3,Trabalho no Rio - Consultoria
"Hotel com bom custo x benefício, com quartos limpos e cama confortável, mas com espaço mais reduzido que o de outros hotéis da região com o mesmo custo. O café da manhã é legal e a vista para a praia da Barra da Tijuca é muito boa. O atendimento da recepção é cortês mas deixou a desejar em relação a minha reserva gerando demora na entrada.",5,Muito bom!
"Caro hospede, obrigado por escolher o Windsor Palace Hotel durante sua visita ao Rio de Janeiro. Estamos muito felizes em receber tais comentários positivos. Tenha a certeza de que trabalhamos muito para que possamos atingir vossas expectativas. Consideramos vossos comentários a nossa maior recompensa. Esperamos recebê-los em breve de volta ao Windsor Palace Hotel. Atenciosamente, Marcelo G Figueiredo",5,Quero Ir Novamente!
"Fim de semana com Sol na piscina de um resort, muitas crianças,  muitos hóspedes. Tudo para fazer de nossa visita uma verdadeira decepção.  Mas decidimos arriscar. No início uma caipirinha no restaurante da piscina , ótimo drink , o barman muito atencioso e gentil.Depois fomos para o bar da piscina. Muito cheio, todos muito ocupados e mesmo assim conseguiram nos dar atenção.  A comida demorou um pouco além do que deveria . Mas a rapidez das bebidas, a atenção e a  gentileza dos funcionários do bar . Nós fazem querer voltar e experimentar mais.",4,Um hotel pra ficar a trabalho
"Cara Fernanda,",3,o melhor desse hotel é o café da manha!
"Caro Sr. Andre,",5,alto padrão!
"Caro Cliente, ",5,Impressiona pela grandeza!
"Cara Michelli, ",4,Estadia
"Estimado Hóspede,",4,hotel muito bem
"Estimado Hóspede,",5,Super serviço
"Bom hotel para utilizar de passagem quando se tem um voo muito cedo no salgado filho. O preço é normal. Só achei que poderia ter estacionamento de graça e a janta poderia ser mais em conta. No geral um hotel bom em limpeza, atendimento e localização.",5,Ótima localização e bom preço
"Hotel muito proximo ao aeroporto de Porto Alegre, e segue o padrão dos outros hotéis da rede Ibis. Ideal para quem tem conexão muito cedo ou tarde no aeroporto. Estacionamento e café da manhã são cobrados a parte.",4,preço e localização
"Excelente escolha quando se trata de custo x beneficio. Limpeza 100%, o quarto é pequeno, mas não é algo que me incomoda, na recepção é possível comprar bebidas e snacks. Recomendo a todos a estadia onde a pessoa deseja um local limpo, bem localizado com preço justo.",3,Quartos pequenos
"Atendimento demorado, mas atencioso. Café da manhã bom.",4,Muito bom custo benefício
"Quando viajo, geralmente coloco o Ibis como uma das principais buscas por hotéis. O custo benefício dele é muito positivo. Fiquei hospedada por 2 dias em Porto Alegre e escolhi esse por ser bem central e próximo aos pontos turísticos. O hotel em si não tem grandes atrativos, como piscina, academia, café da manhã, mas para uma viagem rápida, é tranquilo. O atendimento é muito bom, não tenho do que reclamar.",4,Dentro do padrão Ibis Budget
"Boa tarde,",5,Excelente
"Poderia melhorar a qualidade do cafe da manha, mais variaçoes.A internet ja é boa porem pode melhorarGostei muito do atendimento, todos os funcionarios sao muito gentis e atenciosos Muito bem localizado",3,JÁ FOI MELHOR
"boa localização, quarto amplo e limpo, funcionários atenciosos e cordiais, não utilizei o fitness center nem internet dessa vez, ruído do frigobar À noite necessitando desligamento da tomada,  péssimo café da manhã",2,Avaliação de hospedagem 08/09/18
"Boa Tarde Sr. Emanuel,",3,Confortável mas falta limpeza
"Boa Tarde Sr. George,",3,Localização e custo-benefício 
"Boa tarde Sra. Alessandra,",5,Excelente
"Hotel muito bem localizado, com garagem acessível. Quartos grandes, bem distribuídos e limpos. Café da manhã excelente, piscina também muito boa. Vale a pena se viagem a passeio com família ou em viagem de trabalho.",5,Excelente! 
"Ana Alice, agradecemos por compartilhar a sua experiência conosco, pois nos alerta em quais situações podemos melhorar e alcançar  o nosso objetivo que é a satisfação plena de nossos hospedes.",3,Hotel Antigo
"Estive no hotel hospedada apenas uma noite, mas considero fortemente retornar n próxima estadia à trabalho ou lazer.",4,Apartamentos espaçosos e confortáveis
"Henrique, muito obrigada por recomendar o Plaza São Rafael Hotel no TripAdvisor.",5,Hotel  Especial 
"Muito obrigada por compartilhar seus comentários conosco, rico em detalhes no que se refere aos serviços e estrutura. Sua opinião é muito importante e faz com que continuemos em busca da excelência de nossos serviços e instalações.",3,Um clássico porto-alegrense em reestruturação
"Alberto, muito obrigada por recomendar o Plaza São Rafael no TripAdvisor.",5,Exelente Hotel
"Fabiano, agradecemos seus comentários, pois, como já havíamos  conversado, sua opinião é muito importante e faz com que continuemos em busca da excelência de nossos serviços e instalações.",3,Pensei ser melhor
"Cafe da manha: pouca variedade de frutas, paes, iogurtes; cuca embatumada (nao seguindo tradição gaúcha de qualidade de cuca); gelatina liquida; não recordo de haver cafe expresso. Equipe não estava preparada p fazer omelete ou tapiioca. Atendente pouco solicitaQuarto: WC com forro todo embolorado, com bolhas de infiltrações e mofo. Cheiro de mofo no quarto muito forte (eu e minha esposa estavamos congestionados e sentimos ainda assim o cheiro)",3,Custo benéfico 
Hotel arejado. Quarto de bom tamanho. Localização excelente. Frente ao parque. Perto Reataurantes e shopping ,3,Hotel bom custo beneficio mas restaurante depende do dia pessimo
O hotel é justo o local otimo atendimento tirando restaurante é bom agora tem im problema serissimo de equipe de cozinheiros uma exemente a outra pessima nao parece que vc esta comendo no mesmo lical e bem o mesmo prato pessimo,4,Dentro de padrão
"Gostei muito deste hotel. Atendimento foi muito bom. Quartos bons, limpos, bem apresentáveis, cama confortável. Café da manhã simples mas suficiente. Estacionamento amplo. Só não indico o hotel para quem irá “turistar” ou precisa ir frequentemente ao centro de POA, pois fica bem deslocado.",5,Muito bom
"Olá,",4,Ótimo para quem vai na FIERGS
"Olá,",4,Tranquilo
"Olá,",5,Bom serviço
"Olá,",4,Muito bom para viagens a negócios
"Recepcionistas carrancudos e secos sem o preparo necessário a função. Quartos com pequenos problemas de manutenção principalmente no banheiro que no meu caso tinha estrutura da pia aparente e enferrujada, espelho móvel com suporte quebrado e box com manchas de mofo nos rejuntes. Corredores com diversas marcas de infiltração no gesso o que da uma aparência desleixada e desagradável.",4,Hotel moderno com excelente café
"Hotel moderno, com instalações novas.Obrigado quarto é silencioso e a cama confortável.O café da manhã é excelente com uma boa variedade de frutas, pães, frios e queijos. Até o café você tem a opção de café coado e nespresso!",4,Muito bom ao que se propõe
"Hotel novo, de fácil acesso, bom atendimento, estacionamento privativo, excelente café da manhã, com uma variedade muito boa. No entanto, não tem o ""algo diferente"". É um pouco mais do mesmo. Mas, vale muito a pena a estada.",1,Pior hospedagem da minha vida
"Sem secador de cabelo no quarto. Ao tomar banho faltou água no chuveiro, tive que sair todo ensaboado do chuveiro e me secar assim mesmo. Corredores fedem e as toalhas estão sujas e mal lavadas. Terrível, café da manhã sem reposição dos itens. Nada pode ser pior.",2,Insatisfatório quanto à classificação 
"Por se tratar da rede Novotel, achei que fosse melhor.",5,Ótimo atendimento
"Boa tarde sr. Daniel,",4,Excelente Custo-Benefício com boa localização.
Boa tarde!,5,Agradável estadia em POA
"Boa tarde,",4,Muito recomendável
"Boa tarde,",4,Praticidade
"Muito bom o atendimento e nao tenho nada a declarar. Desde a recepção, quarto e café da manhã.. A localização não percebi se era boa ou não, porque a minha intenção era apenas o pernoite e não tinha intenção de turistar por Porto Alegre",4,Muito bom dentro do que esperar do Budget
pessoal esse hotel e muito bom fiquei hospedada nele e super recomendo e um valor a cima mais vale muito. ,4,Hotel Plaza Porto Alegre
"É o padrão da rede, cama ótima, lençóis muito bons, quarto bem limpinho, recepção pratica e rápida, café e estacionamento cobrado a parte, mas preço justo.É ideal para quem esta com pouco bagagem e quer somente uma boa noite de sono.",2,"Roupas de Cama sujas + Quarto ""OFF"""
"fiquei hospedado para a capacitação da nestle para a venda da pascoa, uma estrutura ótima com uma organização excelente, dava pra ver que os funcionários gostam de trabalhar ali, muito bom, achei o cafe da manha um pouco fraco....",4,MUITO BOM ...
"O hotel é muito bem localizado, bem no centro. Com todo tipo de comércio perto.",4,Ótimo custo benefício
"Pontos positivos: Hotel charmoso, decoração de bom gosto, ambiente agradável, empregados atenciosos, apartamentos e areas comuns limpos.",4,capacitação
"Hotel muito bom, confortável e recém reformado. Ótimo café da manhã, ótima localização. Como sugestão de melhora deixaria  a velocidade do check in, é muito lento.",5,Inesquecível
"O hotel tem boa estrutura e é ideal para quem quer ficar próximo ao aeroporto. Inclusive, oferece serviço de van, a um custo adicional. O atendimento é cordial, bom café da manhã, quarto confortável. A única ressalva é em relação ao barulho que se ouve do apartamento, devido à proximidade do aeroporto. Imagino que um vidro duplo resolveria o problema.",4,Atendimento diferenciado da Rede IBIS
"De todos os hotéis da Rede IBIS em que já me hospedei com minha família, este é o mais interessante! Surpreendeu por ter uma área kids! café da manhã muito bom e as opções no Jantar também fizeram diferença. ",4,Confortável e conveniente 
"Prezado (a),",5,Estadia para o GRENAL
"Prezada Sra Cynthia,",5,Ótimo Hotel
"Prezada Sra Michele,",5,Vista maravilhosa!
"Prezado Sr Marco,",4,Férias curtas em PoA
"Boa localização, quartos confortáveis e camas excelentes. Hotel dispõe de boa piscina aquecida no último andar (vista panorâmica muito bonita, destaque para o pôr do Sol no Guaíba) e diversos equiapamentos de musculação. Recomendo o restaurante, bons pratos com preços medianos e excelente atendimento. O hotel fica próximo do shopping Praia de Belas, podendo ir a pé.",3,Bem Localizado
"Prezado hóspede,",5,Estadia Porto Bay
"Prezado Hóspede, ",5,Excelente estadia
"Prezada Srta. Marta,",1,Lugar sombrio
"Prezada Jamile,",5,Indico!
Prezada Srta. Maria.,5,Hotel Aconchegante
"Prezada Srta. Mariana,",5,Hotel maravilhoso
"Prezada hóspede,",5,Home away from home
"Prezada Srta Tayta,",5,Hotel Maravilhoso!
"Localização, atendimento e acomodações excelentes. O serviço se concierge também é ótimo. O preço dos serviços/produtos internos como frigobar, spa e vallet são abusivos. O valor do vallet é R$60,00/dia e o carro ainda ficou em estacionamento externo.",5,Impecável 
Realmente tudo e impecável. Desde o check in até o check out. Limpeza e arrumação dos quartos e surreal. Qualidades das coisas também é muito boa. Staff atencioso. Acho o preço caro para o Rio de Janeiro. ,1,FUI FURTADA DENTRO DO HOTEL E NAO FIZERAM NADA!!!!
"Atendimento, quarto, restaurantes e facilidades impecáveis !!! Desde a chegada ao Hotel até o check-out, todos os funcionários preocupados em nos agradar, limpeza fantástica das áreas e localização incrivel no Rio de Janeiro !!",5,Muito bom!
O hotel continuou caro ao perder qualidade. É melhor pagar um hotel mais barato que será tão bem atendido quanto no Fasano. É simplesmente triste o que aconteceu com um dos melhores hoteis do Rio de Janeiro.,4,Muito bom ...mas vamos prezar pelo sono do hospede....
"Eu e meu marido chegamos no rj no dia 01/09/2018 vindos de sp. Ao desembarcarmos, sacamos dentro do caixa rapido do aeroporto o valor de r$1.000,00 (hum mil reais), colocamos dentro de uma caixa de oculos cor vinho em minha mochila. Seguimos no uber diretamente para o hotel fasano. ",1,Decepção
"Prezado Sr. Claudio,",1,Gato por lebre
"Prezada Sra. Cristiane,",4,Muito bem localizado!
"Prezado Sr. Alex,",3,Ótimo hotel os funcionários que estragam
"Ótima localização, bom quarto, café da manhã razoável. Só não vou dar a nota máxima por causa dos atendentes não muito atenciosos, não sabe escutar, erro no check in, erro no check out, não quis falar muito sobre a redondezas, isso aconteceu com 4 funcionários diferentes.... ",3,RAZOVEL
"O estabelecimento é agradável porem os atendente não ajudam na nota, são desatenciosos, não dão informações. não nos deixam a vontade, falam demais e não sabe escutar, não sei se voltaria novamente algum dia.",4,Segunda Lua de Mel
"Caro Matheus, ",5,Hotel da noite de núpcias!
Excelente hotel com profissionais de Excelência ,5,Excelente Hotel !!!
"Prezada taticosta2,",3,Péssimo serviço no restaurante
"Hotel maravilhoso, atendimento de excelência !!!",5,Mega Excelente
